_RAJ2000,_DEJ2000,Type,WISEP,OName,p,SpType,l_W1mag,W1mag,e_W1mag,W2mag,e_W2mag,l_W3mag,W3mag,e_W3mag,l_Jmag,Jmag,l_Hmag,Hmag,l_Ksmag,Ksmag,WISE,2M,Simbad,_RA,_DE
337.1208333,-43.1748333,T,J222829.00-431029.4,2MASS J22282889-4310262,,T6,,15.183,0.044,13.286,0.033,,11.631,0.184,,15.662,,15.363,,15.296,WISE,2M,Simbad,337.12083,-43.17483
343.5790417,31.3978333,T,J225418.97+312352.2,2MASSI J2254188+312349,,T4,,14.627,0.035,13.246,0.031,,11.995,0.237,,15.262,,15.018,,14.902,WISE,2M,Simbad,343.57904,31.39783
346.504125,13.0403333,T,J230600.99+130225.2,ULAS J230601.02+130225.0,,T6.5,>,17.793,,15.001,0.09,>,12.801,,,17.57,,18.0,,18.03,WISE,2M,Simbad,346.50412,13.04033
348.9903333,13.3821111,T,J231557.68+132255.6,ULAS J231557.61+132256.2,,T6.5,,17.951,0.369,15.414,0.134,>,12.458,,,17.71,,18.16,,18.14,WISE,2M,Simbad,348.99033,13.38211
350.1473333,14.8083889,T,J232035.36+144830.2,ULAS J232035.28+144829.8,,T5,,16.609,0.111,14.302,0.056,>,12.633,,,16.79,,17.14,,17.4,WISE,2M,Simbad,350.14733,14.80839
350.3492917,13.9148611,T,J232123.83+135453.5,ULAS J232123.79+135454.9,,T7.5,,17.186,0.202,14.06,0.053,>,12.394,,,16.72,,17.15,,17.16,WISE,2M,Simbad,350.34929,13.91486
352.0088333,13.7625556,T,J232802.12+134545.2,ULAS J232802.03+134544.8,,T7,,18.194,0.522,15.111,0.111,>,12.617,,,17.75,,18.17,,18.29,WISE,2M,Simbad,352.00883,13.76256
352.8494583,-47.3077778,T,J233123.87-471828.0,2MASS J23312378-4718274,,T5,,14.793,0.04,13.361,0.037,,11.558,0.223,,15.659,,15.51,,15.389,WISE,2M,Simbad,352.84946,-47.30778
354.7937917,13.8718889,T,J233910.51+135218.8,2MASSI J2339101+135230,,T5,,15.136,0.043,13.746,0.042,>,12.215,,,16.239,,15.822,,16.147,WISE,2M,Simbad,354.79379,13.87189
359.2266667,-15.8884722,T,J235654.40-155318.5,2MASSI J2356547-155310,p,T5.5,,15.532,0.054,13.641,0.041,,12.012,0.293,,15.824,,15.63,,15.771,WISE,2M,Simbad,359.22667,-15.88847
3.93675,35.2666667,L,J001544.82+351600.0,2MASSW J0015447+351603,,L2,,11.79,0.024,11.538,0.024,,10.912,0.097,,13.878,,12.892,,12.264,WISE,2M,Simbad,3.93675,35.26667
7.6824167,31.6588333,L,J003043.78+313931.8,2MASSW J0030438+313932,,L2,,13.485,0.03,13.129,0.036,,11.956,0.326,,15.48,,14.617,,14.027,WISE,2M,Simbad,7.68242,31.65883
