_RAJ2000,_DEJ2000,recno,PSO,zP1mag,yP1mag,WISE,W1mag,W2mag,l_W3mag,W3mag,Nobs,Mm,SpT,AName,f_AName,l_Jmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,Jmag2,f_Jmag2,Hmag2,f_Hmag2,Kmag2,f_Kmag2,Ref,2M,_RA,_DE
192.5648333,26.4796944,70,J192.5647+26.4796,,19.6,J125015.56+262846.9,16.36,14.58,>,12.84,1,0,*,J192.5+26,,,,,,,,16.4,,16.74,,16.79,,2,2M,192.56483,26.47969
192.6717083,-21.8250278,71,J192.6717-21.8250,20.68,19.09,J125041.21-214930.1,15.75,14.76,>,12.66,1,0,*,J192.6-21,,,,,,,,16.84,,16.3,,16.22,e,1,2M,192.67171,-21.82503
202.1635417,-3.7661667,72,J202.1635-03.7660,21.43,19.58,J132839.25-034558.2,15.74,14.45,>,12.82,1,0,*,J202.1-03,,,,,,,,16.94,,16.69,,16.7,e,1,2M,202.16354,-3.76617
202.5765833,-26.1467778,73,J202.5764-26.1469,,18.7,J133018.38-260848.4,15.65,15.21,>,12.89,1,0,,J202.5-26,,,16.67,,16.19,,15.45,16.73,,16.24,,16.28,e,1,2M,202.57658,-26.14678
207.7495833,29.4240833,74,J207.7496+29.4240,20.81,19.79,J135059.90+292526.7,14.43,13.76,,12.96,1,0,*,J207.7+29,,,16.97,,15.79,,15.41,17.18,,16.41,,15.5,,2,2M,207.74958,29.42408
218.4531667,50.723,75,J218.4532+50.7231,20.68,19.4,J143348.76+504322.8,15.88,14.7,>,13.05,1,0,*,J218.4+50,,,,,,,,16.91,,16.54,,16.16,e,1,2M,218.45317,50.723
218.561625,-27.8951667,76,J218.5616-27.8952,19.75,18.76,J143414.79-275342.6,14.07,13.56,>,12.05,1,0,*,J218.5-27,,,16.58,,15.6,,14.83,16.32,,15.43,,14.59,e,1,2M,218.56162,-27.89517
224.3819583,47.4055833,77,J224.3820+47.4057,,19.72,J145731.67+472420.1,16.72,14.62,,12.66,1,0,*,J224.3+47,,,,,,,,17.08,,17.43,,17.09,e,1,2M,224.38196,47.40558
228.6774167,-29.7088611,78,J228.6775-29.7088,19.85,18.77,J151442.58-294231.9,14.95,14.29,>,12.53,0,0,,J228.6-29,,,16.79,,15.95,,15.31,16.72,,16.18,,15.37,e,1,2M,228.67742,-29.70886
229.2354167,-26.6736944,79,J229.2354-26.6738,20.3,19.01,J151656.50-264025.3,14.8,14.39,>,12.59,0,0,,J229.2-26,,,16.46,,15.98,,15.18,16.76,,15.85,,15.14,e,1,2M,229.23542,-26.67369
231.25875,8.5621667,80,J231.2588+08.5622,20.96,19.49,J152502.10+083343.8,15.29,14.55,>,12.7,1,0,*,J231.2+08,,,,,,,,17.19,,16.71,,16.31,,2,2M,231.25875,8.56217
231.7899167,-26.4493611,81,J231.7900-26.4494,19.18,18.09,J152709.58-262657.7,14.25,13.85,>,12.48,0,0,,J231.7-26,,,15.96,,15.21,,14.62,15.98,,15.25,,14.64,e,1,2M,231.78992,-26.44936
231.89425,-29.0599167,82,J231.8943-29.0599,18.75,17.81,J152734.62-290335.7,13.87,13.43,,11.32,0,0,,J231.8-29,,,15.77,,14.83,,14.33,15.72,d,14.91,d,14.29,d,1,2M,231.89425,-29.05992
237.1470833,-23.1487222,83,J237.1471-23.1489,17.39,16.62,J154835.30-230855.4,12.94,12.4,,10.66,0,0,,J237.1-23,,,14.79,,14.13,,13.6,14.73,d,14.19,d,13.57,d,1,2M,237.14708,-23.14872
