# Name,redshift,ra,dec,OBJ_TYPE
J0935--0110,6.08,143.9305,-1.175916667,HIGH_Z_QUASAR
HSC~J0957+0053,6.05,149.4182917,0.892666667,HIGH_Z_QUASAR
HSC~J1004+0239,6.41,151.0056667,2.658527778,HIGH_Z_QUASAR
J100614.61--031030.4,5.55,151.5608778,-3.175136519,HIGH_Z_QUASAR
PSO151.81869-16.18554,5.7,151.8186932,-16.18554635,HIGH_Z_QUASAR
J1007+2115,7.5149,151.9927733,21.25811343,HIGH_Z_QUASAR
J1016+2541,5.64,154.1571067,25.69221833,HIGH_Z_QUASAR
SDSS~J1030+0524,6.308,157.61291,5.4152777,HIGH_Z_QUASAR
PSO~J157.9070--02.6599,5.88,157.9070364,-2.659907312,HIGH_Z_QUASAR
J103436.86-123342.49,5.51,158.6535938,-12.56180336,HIGH_Z_QUASAR
PSO~J158.69378--14.42107,6.0685,158.6937888,-14.4210793,HIGH_Z_QUASAR
PSO~J159.2257--02.5438,6.3809,159.225791,-2.54387343,HIGH_Z_QUASAR
DELS~J104119.15+200824.0,6.12,160.3297917,20.14,HIGH_Z_QUASAR
SDSS~J1044--0125,5.7846,161.13767,-1.4172777,HIGH_Z_QUASAR
VIK~J1048--0109,6.6759,162.07951,-1.1611917,HIGH_Z_QUASAR
J104836.74+333947.66,5.61,162.1530833,33.66323889,HIGH_Z_QUASAR
SDSS~J1048+4637,6.2284,162.18777,46.621819,HIGH_Z_QUASAR
PSO164.53218+29.51159,6.5846,164.5321848,29.51159128,HIGH_Z_QUASAR
CFHQS~J1059--0906,5.92,164.8692,-9.1056666,HIGH_Z_QUASAR
DELS~J1104+2134,6.7662,166.0899583,21.57466667,HIGH_Z_QUASAR
J1109-28,5.3,167.4287482,-28.9223015,HIGH_Z_QUASAR
PSO~J167.4726+56.9521,5.95,167.4726592,56.95212209,HIGH_Z_QUASAR
PSO~J167.6415--13.4960,6.5144,167.6415895,-13.49602311,HIGH_Z_QUASAR
P169+58,5.72,169.1406157,58.88945488,HIGH_Z_QUASAR
DELS~J111921.65+011308.6,5.78,169.8402083,1.21905556,HIGH_Z_QUASAR
ULAS~J1120+0641,7.0848,170.00616,6.6900833,HIGH_Z_QUASAR
J112143.65-071839.69,5.71,170.4318809,-7.3110263,HIGH_Z_QUASAR
PSO~J172.1770+26.8866,5.77,172.1770189,26.8866679,HIGH_Z_QUASAR
PSO~J172.3556+18.7734,6.823,172.3556987,18.77342494,HIGH_Z_QUASAR
J1132+0038,5.66,173.075625,0.633361111,HIGH_Z_QUASAR
J1133+1603,5.61,173.2866033,16.06549752,HIGH_Z_QUASAR
PSO~J173.3198--06.9458,5.8,173.3198612,-6.945804598,HIGH_Z_QUASAR
PSOJ173.4601+48.2420,6.233,173.4601125,48.24208373,HIGH_Z_QUASAR
J1134+0828,5.69,173.5592831,8.481478207,HIGH_Z_QUASAR
DELS~J113508.93+501133.0,6.5851,173.7872083,50.1925,HIGH_Z_QUASAR
SDSS~J1137+3549,6.007,174.32387,35.832472,HIGH_Z_QUASAR
J113735.37-104934.54,5.5,174.3973646,-10.82626047,HIGH_Z_QUASAR
J1137+0045,6.4,174.4735,0.75269444,HIGH_Z_QUASAR
PSO~J174.7920--12.2845,5.81,174.7920407,-12.28454921,HIGH_Z_QUASAR
PSO~J175.4091--20.2654,5.69,175.4091843,-20.26545798,HIGH_Z_QUASAR
SDSS~J1143+3808,5.8356,175.909725,38.14131111,HIGH_Z_QUASAR
HSC~J1146--0154,6.16,176.6360833,-1.910638889,HIGH_Z_QUASAR
HSC~J1146+0124,6.27,176.70175,1.405583333,HIGH_Z_QUASAR
HSC~J1146--0005,6.3,176.745375,-0.093805556,HIGH_Z_QUASAR
ULAS~J1148+0702,6.344,177.01369,7.0356475,HIGH_Z_QUASAR
RD~J1148+5253,5.7,177.06754,52.89425,HIGH_Z_QUASAR
SDSS~J1148+5251,6.4189,177.06938,52.864008,HIGH_Z_QUASAR
VIK~J1148+0056,5.84,177.13825,0.9450722,HIGH_Z_QUASAR
J1149+0748,5.66,177.443522,7.814064554,HIGH_Z_QUASAR
VIK~J1152+0055,6.3643,178.08863,0.92685833,HIGH_Z_QUASAR
PSO~J178.5594--12.1881,5.83,178.5594134,-12.18818926,HIGH_Z_QUASAR
HSC~J1201+0133,6.06,180.2625833,1.565666667,HIGH_Z_QUASAR
HSC~J1202--0057,5.9289,180.6932083,-0.950472222,HIGH_Z_QUASAR
HSC~J1205--0000,6.699,181.2712417,-0.007769444,HIGH_Z_QUASAR
ULAS~J1207+0630,6.0366,181.90601,6.5028814,HIGH_Z_QUASAR
HSC~J1207--0005,6.01,181.9755833,-0.098138889,HIGH_Z_QUASAR
HSC~J1208--0200,6.1165,182.2467917,-2.009666667,HIGH_Z_QUASAR
HSC~J1209--0006,5.86,182.3499583,-0.112916667,HIGH_Z_QUASAR
J1210+0134,5.97,182.7046667,1.574083333,HIGH_Z_QUASAR
P183+05??,6.433,183.29919,-12.767624,HIGH_Z_QUASAR
PSO~J183.2991--12.7676,5.86,183.29919,-12.767624,HIGH_Z_QUASAR
VIK~J1215+0023,5.93,183.82033,0.3902055,HIGH_Z_QUASAR
DELS~J1216+4519,6.648,184.1149167,45.31963889,HIGH_Z_QUASAR
PSO~J184.3389+01.5284,6.2,184.3389334,1.528463562,HIGH_Z_QUASAR
HSC~J1219+0050,6.01,184.77225,0.84375,HIGH_Z_QUASAR
PSO~J187.1047--02.5609,5.77,187.10479,-2.56090331,HIGH_Z_QUASAR
PSO~J187.3050+04.3243,5.89,187.30503,4.324362,HIGH_Z_QUASAR
J1231+0052,6.69,187.907375,0.875083333,HIGH_Z_QUASAR
PSO188.37321-01.40082,6.26,188.3732111,-1.400823892,HIGH_Z_QUASAR
J123606.05+465725.13,5.55,189.025227,46.95698222,HIGH_Z_QUASAR
ULAS~J1243+2529,5.85,190.92003,25.489967,HIGH_Z_QUASAR
HSC~J1243+0100,7.0749,190.9747083,1.01069444,HIGH_Z_QUASAR
SDSS~J1250+3130,6.137,192.71637,31.506083,HIGH_Z_QUASAR
PSO193.39924-02.78203,5.8,193.3992412,-2.782035415,HIGH_Z_QUASAR
J1254--0014,6.13,193.6545,-0.236305556,HIGH_Z_QUASAR
PSO~J194.1290+25.5476,5.91,194.1290326,25.54762379,HIGH_Z_QUASAR
SDSS~J1257+6349,6.02,194.4894583,63.827,HIGH_Z_QUASAR
SDSS~J1306+0356,6.033,196.53441,3.9406388,HIGH_Z_QUASAR
PSO~J197.7198+25.5351,5.84,197.7198013,25.53518849,HIGH_Z_QUASAR
PSO197.86752+45.80409,5.7,197.8675253,45.80408675,HIGH_Z_QUASAR
J131326.06-261721.83,5.54,198.3585928,-26.28939819,HIGH_Z_QUASAR
J131440.41+543237.21,5.52,198.6683776,54.54367206,HIGH_Z_QUASAR
DELS~J131608.14+102832.8,6.329,199.0339167,10.47577778,HIGH_Z_QUASAR
ULAS~J1319+0950,6.1347,199.79709,9.8476368,HIGH_Z_QUASAR
PSO~J201.9222+57.5440,5.74,201.9222077,57.5440082,HIGH_Z_QUASAR
SDSS~J1335+3533,5.9012,203.9617,35.554388,HIGH_Z_QUASAR
J1335-0328,5.67,203.9843175,-3.477279144,HIGH_Z_QUASAR
ULAS~J1342+0928,7.54,205.5337721,9.477390558,HIGH_Z_QUASAR
J1344+0128,6.72,206.003625,1.474388889,HIGH_Z_QUASAR
J1347--0157,6.15,206.890375,-1.964055556,HIGH_Z_QUASAR
J1350--0027,6.49,207.5501667,-0.45144444,HIGH_Z_QUASAR
P207+37,5.73,207.5983616,37.80991077,HIGH_Z_QUASAR
