Table 1 
Pan-STARRS1 and WISE All-sky Photometry


Pan-STARRS1 Name	${z}_{{\rm{P}}1}$	${y}_{{\rm{P}}1}$	WISE Name	W1	W2	W3	
PSO J331.6058+33.0207	20.30 +or- 0.06	18.93 +or- 0.04	J220625.35+330114.6	15.37 +or- 0.04	14.62 +or- 0.07	12.82 +or- 0.48	
PSO J331.9397-07.0570	20.71 +or- 0.09	19.77 +or- 0.07	J220745.53-070325.1	14.51 +or- 0.03	13.86 +or- 0.05	>12.18	
PSO J334.1193+19.8800	20.79 +or- 0.06	19.18 +or- 0.07	J221628.62+195248.1	15.70 +or- 0.04	14.64 +or- 0.06	12.93 +or- 0.44	
PSO J334.8034+11.2278	19.95 +or- 0.03	18.92 +or- 0.05	J221912.81+111340.1	14.11 +or- 0.03	13.69 +or- 0.04	12.68 +or- 0.46	
PSO J336.9036-18.9148	20.71 +or- 0.07	19.81 +or- 0.08	J222736.87-185453.1	14.15 +or- 0.03	13.61 +or- 0.04	>12.70	
PSO J337.4314+16.4215	19.91 +or- 0.03	18.91 +or- 0.02	J222943.60+162516.5	15.72 +or- 0.05	15.16 +or- 0.10	>12.69	
PSO J338.8587+31.4729	20.13 +or- 0.04	19.14 +or- 0.05	J223526.08+312822.3	15.06 +or- 0.04	14.66 +or- 0.07	>12.62	
PSO J339.0734+51.0978	19.15 +or- 0.06	17.27 +or- 0.01	J223617.59+510551.9	13.84 +or- 0.03	12.48 +or- 0.03	11.02 +or- 0.08	
PSO J341.7509-15.1075	19.72 +or- 0.03	18.73 +or- 0.03	J224700.20-150626.8	14.22 +or- 0.03	13.80 +or- 0.04	>12.75	
PSO J342.3797-16.4665	19.29 +or- 0.04	18.27 +or- 0.02	J224931.09-162759.4	14.09 +or- 0.03	13.67 +or- 0.04	>12.08	
PSO J342.9795-09.6000	21.22 +or- 0.17	20.04 +or- 0.14	J225154.99-093600.5	15.98 +or- 0.08	15.02 +or- 0.11	>12.54	
PSO J344.8146+20.1917	20.31 +or- 0.11	18.99 +or- 0.04	J225915.51+201129.9	14.35 +or- 0.03	13.93 +or- 0.04	>12.33	
PSO J346.3203-11.1654	20.37 +or- 0.05	19.29 +or- 0.05	J230516.86-110955.2	14.62 +or- 0.04	14.09 +or- 0.06	>12.24	
PSO J346.5281-15.9406	20.15 +or- 0.08	19.28 +or- 0.09	J230606.72-155626.1	13.86 +or- 0.03	13.36 +or- 0.04	>12.09	
PSO J348.8808+06.2873	19.09 +or- 0.01	18.06 +or- 0.02	J231531.39+061714.2	13.55 +or- 0.03	13.10 +or- 0.03	11.67 +or- 0.23	
PSO J350.4673-19.0783	20.02 +or- 0.05	19.08 +or- 0.05	J232152.15-190441.6	14.57 +or- 0.03	14.13 +or- 0.06	>12.61	
PSO J353.0517-29.8947	20.33 +or- 0.05	19.24 +or- 0.08	J233212.40-295341.5	15.78 +or- 0.06	15.15 +or- 0.10	>12.84	
PSO J353.6355+13.2209	19.79 +or- 0.03	18.88 +or- 0.02	J233432.53+131315.3	13.78 +or- 0.03	13.26 +or- 0.03	12.40 +or- 0.39	
PSO J353.8627+45.1946	20.13 +or- 0.03	19.15 +or- 0.07	J233527.07+451140.9	13.48 +or- 0.03	12.93 +or- 0.03	12.72 +or- 0.54	
PSO J357.8314+49.6330	20.04 +or- 0.04	18.73 +or- 0.03	J235119.56+493758.9	14.84 +or- 0.03	14.32 +or- 0.05	12.55 +or- 0.30	
PSO J359.8867-01.8651	20.31 +or- 0.06	19.06 +or- 0.03	J235932.81-015154.1	15.24 +or- 0.05	14.54 +or- 0.07	>12.64	
Note. Pan-STARRS1 photometry is quoted as of 2015 March. The photometric selections described in this paper were done using Pan-STARRS1 photometry from 2012 January. WISE photometry is from the WISE All-sky Release.
