COADD_OBJECT_ID,ra_des,dec_des,g_mag,g_magerr,r_mag,r_magerr,i_mag,i_magerr,z_mag,z_magerr,Y_mag,Y_magerr,J_mag,J_magerr,K_mag,K_magerr,W1_mag,W1_magerr,W2_mag,W2_magerr,g_flux,g_fluxerr,r_flux,r_fluxerr,i_flux,i_fluxerr,z_flux,z_fluxerr,Y_flux,Y_fluxerr,J_flux,J_fluxerr,K_flux,K_fluxerr,W1_flux,W1_fluxerr,W2_flux,W2_fluxerr
928429665,324.112383,-40.069571,25.37748337,0.21181519,23.91457748,0.07243401,21.31463051,0.01143925,20.08037376,0.00719844,19.78070641,0.02065642,19.0237,0.0412,18.978900000000003,0.1145,19.967,0.146,20.003999999999998,0.294,0.2564523316497472,0.050031028822913055,0.9866633762133895,0.06582444662531577,10.818020398148098,0.11397799879675517,33.71712189421954,0.2235447964842386,44.4342072159999,0.8453726076355678,89.2318711436908,3.386046329678253,92.99080343363872,9.80666108995009,37.4282912240806,5.033018605042379,36.17428867642187,9.795418835864693
1129220011,15.889508,-51.718097,25.50141144,0.18004027,23.70342255,0.05111199,21.12668228,0.0087609,20.0836544,0.00688427,19.94844246,0.02357883,19.1065,0.0661,19.484,0.2712,20.183,0.148,19.849,0.214,0.22878914957260874,0.03793855273648084,1.1984805215408898,0.05641952820928446,12.862550355797293,0.10378903910384751,33.61539663878004,0.21314336355763996,38.07351874011605,0.8268389890111459,82.67991091178719,5.033581902600925,58.39827246189301,14.586979251735961,30.67608976917941,4.181550975220492,41.72535112317939,8.224120280072599
931228436,325.056454,-44.768679,99.0,99.0,23.8936882,0.063623,21.19932556,0.00927311,20.08870316,0.00648038,19.83675194,0.01637765,18.9739,0.0638,19.107,0.1989,19.613999999999997,0.106,19.741999999999997,0.233,0.0,0.14358902769679205,1.0058303131367472,0.05894059876814668,12.030114918844573,0.10274740629095845,33.45944523596023,0.19970773634330022,42.19871476773028,0.6365411578677882,93.42002948010798,5.489545116678363,82.64184417157978,15.139462729244629,51.808378507199436,5.0580316818177105,46.046857837857566,9.881698546297352
1411461985,55.941835,-22.82529,24.60433388,0.10087333,23.2142334,0.03604762,21.13467407,0.0097437,20.0928154,0.00746599,19.89256668,0.01966381,19.066300000000002,0.0429,18.951500000000003,0.1333,19.996000000000002,0.113,20.115,0.253,0.5227167874239355,0.048564451257385115,1.8806442046101062,0.06243942805433997,12.768220438456991,0.11458557699465151,33.33295684128019,0.22921177479097607,40.08420993343584,0.7259666617700979,85.79856021156486,3.3901036153584823,95.36741259755827,11.708623184474618,36.441815078886044,3.7927491833354465,32.65878321723366,7.610202292002226
1086668282,9.996889,-23.977382,25.1956768,0.16027087,23.3907814,0.04030361,21.13780403,0.00854723,20.09464455,0.0071275,19.78933144,0.02031121,19.0073,0.0588,19.1049,0.1788,19.536,0.112,19.375,0.192,0.3032000579738554,0.044756854254800874,1.598407247261076,0.05933447004204416,12.731465220890035,0.10022578320872111,33.276847772264325,0.2184515275970289,44.08262259793089,0.8246675398807233,90.5899458376676,4.906061704409577,82.80184235155357,13.635880748543238,55.66727981509474,5.742403460405493,64.56542290346562,11.417654807068898
997254301,347.013153,-56.787509,25.08649635,0.14211395,23.40194511,0.03953179,21.02761269,0.00808615,20.01478577,0.00641931,19.76865959,0.01680766,19.1434,0.0523,18.959899999999998,0.1148,19.694000000000003,0.108,19.645,0.192,0.33527522296612766,0.043884772437391036,1.582056378322901,0.057602869133348916,14.091425340598771,0.10494757245685335,35.81671011997906,0.21176282455414844,44.92997366104861,0.6955351749296134,79.91715226088911,3.849615629401995,94.6324317042689,10.005932483452746,48.12824218676017,4.787396914085616,50.35006087879057,8.903831010112961
1252250982,33.520352,-14.879947,25.54358482,0.21375966,23.66217804,0.04847949,21.09535027,0.00838392,20.02405739,0.00623265,19.76810265,0.01676949,18.8552,0.0371,18.8108,0.1082,19.441000000000003,0.08,19.366,0.149,0.22007264947815344,0.04332788620439252,1.244883710026698,0.0555856266991177,13.239143574974376,0.10223102086369665,35.51215634202507,0.20385692238606845,44.953026883832585,0.6943116859275179,104.21254451102462,3.560980452171906,108.56254104800962,10.818895869841066,60.75751461057411,4.476779117749628,65.10284984348627,8.934329153038057
1332734542,41.195755,-43.032582,25.08067894,0.12749127,23.35887909,0.03711366,21.03884125,0.00769441,20.02848625,0.00586655,19.86354637,0.01792701,19.0521,0.0693,19.2444,0.2235,19.819000000000003,0.103,19.508,0.161,0.337076459780469,0.0395807984998431,1.6460702430582737,0.05626752711133141,13.94644440720632,0.09883585058781183,35.36759265864381,0.19110143863885298,41.17005545677116,0.6797746935578228,86.92806251178745,5.548414712217197,72.81821016683305,14.989709195441959,42.89434099967813,4.069236250578081,57.12155216230442,8.470353901645694
1263176528,34.412211,-54.019396,25.42472076,0.20429641,23.65958977,0.057023,21.0952034,0.01008914,20.03350067,0.00711116,19.8078022,0.01800349,19.0305,0.0477,19.162999999999997,0.1429,19.845,0.089,19.947,0.19,0.24553403223451656,0.04620065269860885,1.2478549094317022,0.06553749445646931,13.240934585100245,0.12304060799895511,35.20462576441424,0.23057693522032055,43.339023328372356,0.7186401905755149,88.67475556540435,3.8957767291292096,78.48741034887333,10.330180470819395,41.879356511791904,3.432935839493171,38.12413511042998,6.6715889543310904
1136927802,16.91754,-4.42397,25.50040817,0.20218915,23.78155899,0.06357694,21.18007851,0.00997461,20.03900719,0.00623368,19.91151237,0.01659002,19.1585,0.1088,18.9067,0.1439,19.744,0.13,19.81,0.282,0.22900065893671054,0.04264521011360031,1.1152607137940724,0.06530579267275927,12.245276500011107,0.1124968080593623,35.02653073670515,0.20110242540122797,39.390822754961185,0.6018907119955907,78.81338850934166,7.897771698353385,99.38480730224312,13.172144124989122,45.962114466600205,5.50324733989054,43.25138310350096,11.23375087036393
913193698,319.142593,-48.519637,25.59203148,0.21222574,23.55639458,0.04830226,21.07497215,0.00860036,20.04114723,0.00651571,19.83719444,0.02279946,19.2299,0.0659,19.093200000000003,0.1409,19.628,0.106,19.715999999999998,0.205,0.21046864641731242,0.041139702293213065,1.372278212017844,0.0610499481354103,13.489974850097678,0.1068571164831255,34.95755969947131,0.20978698169154586,42.18151986663672,0.8857730549317285,73.79721967502465,4.479206602185208,83.69894810736871,10.861921833909397,51.144625159630486,4.993229702723735,47.16284552998392,8.90491013496279
923140443,322.015733,-57.252255,25.30360031,0.20529474,23.50051498,0.05274963,21.12364388,0.01070641,20.04976463,0.00697092,19.88640785,0.02175589,18.9308,0.0562,19.037999999999997,0.1488,19.889000000000003,0.12,19.959,0.253,0.27451107846749173,0.0519054999125296,1.4447543408371002,0.07019224060694224,12.898596227876796,0.1271926449858661,34.681202552617606,0.22266908613584474,40.31223341525332,0.8077731146783964,97.20307411291928,5.0314364955371635,88.06432284180674,12.069203533449476,40.21610443342126,4.444848123201002,37.70509158333933,8.786101199148968
