,RA,Dec,W1-W2
J023618.01+004852.8,39.075041666666664,0.8146666666666668,-0.19400000000000028
J023942.48-173548.3,39.92699999999999,-17.59675,-0.34199999999999997
J024153.91-124107.5,40.474625,-12.685416666666667,-0.30800000000000105
J024243.68+160737.6,40.681999999999995,16.127111111111113,-0.237999999999999
J025601.91+011046.3,44.007958333333335,1.179527777777778,-0.24699999999999933
J030136.57+002057.0,45.402375,0.3491666666666666,-0.3429999999999994
J030321.24-000938.0,45.83849999999999,-0.16055555555555556,-0.2100000000000003
J030909.04-194939.0,47.28766666666666,-19.8275,-0.33099999999999896
J031013.90-275645.8,47.55791666666666,-27.946055555555557,-0.27700000000000047
J031645.21-284852.8,49.18837499999999,-28.814666666666668,-0.27400000000000035
J031854.37-342128.7,49.72654166666666,-34.35797222222222,-0.14099999999999946
J033703.73-175806.6,54.26554166666666,-17.9685,-0.25299999999999956
J035822.59-411605.0,59.594125,-41.268055555555556,-0.16999999999999937
J065219.57-253449.5,103.08154166666667,-25.580416666666668,-0.30699999999999983
J065230.58+471036.3,103.12741666666666,47.17675,-0.27100000000000024
J071716.22+570543.6,109.31758333333332,57.095444444444446,-0.2719999999999997
J071932.08-505141.5,109.88366666666664,-50.86152777777778,-0.4119999999999985
J072314.69+572705.6,110.81120833333333,57.45155555555556,-0.394999999999999
J074642.23+200031.5,116.67595833333331,20.00875,-0.37300000000000055
J075259.41+413634.6,118.24754166666666,41.609611111111114,-0.4700000000000001
J075332.07+291710.3,118.38362499999998,29.286194444444448,-0.32299999999999984
J075515.18+293445.0,118.81324999999998,29.579166666666666,-0.3060000000000004
J075625.28+124454.2,119.10533333333332,12.748388888888888,-0.027000000000000468
J075656.43+231455.4,119.23512499999998,23.248722222222224,-0.2909999999999998
J080048.13+465825.8,120.20054166666665,46.97383333333334,-0.38100000000000145
J080140.31+462845.8,120.41795833333333,46.47938888888889,-0.3770000000000001
J080322.74+123845.2,120.84474999999999,12.645888888888889,-0.3280000000000006
J080531.37+481233.7,121.38070833333332,48.209361111111114,-0.18300000000000105
J080958.86+443419.5,122.49524999999998,44.57208333333334,-0.10199999999999976
J081231.81-244443.9,123.13254166666665,-24.745527777777777,-0.4110000000000008
J082029.82+450027.4,125.12424999999999,45.00761111111111,-0.30199999999999905
J082030.08+103736.8,125.12533333333332,10.626888888888889,-0.10799999999999998
J082307.65+612518.5,125.78187499999997,61.42180555555555,-0.30000000000000016
J082348.05+242858.2,125.95020833333331,24.482833333333332,-0.3060000000000004
J082906.58+145619.6,127.27741666666665,14.938777777777778,-0.34199999999999997
J082957.00+265509.4,127.48749999999997,26.91927777777778,-0.13399999999999979
J083204.55-012835.8,128.01895833333333,-1.4766111111111113,-0.3920000000000007
J083506.10+195303.6,128.77541666666667,19.884333333333334,-0.1970000000000004
J083558.21+054830.5,128.99254166666665,5.808472222222222,-0.31300000000000006
J084016.40+543001.4,130.0683333333333,54.50038888888889,-0.2470000000000011
J084728.84-153239.4,131.87016666666665,-15.544277777777777,-0.3819999999999991
J085234.85+472031.0,133.1452083333333,47.341944444444444,-0.06099999999999939
J085757.95+570847.5,134.49145833333333,57.14652777777778,-0.030000000000000582
J085938.38+634130.4,134.90991666666662,63.69177777777777,-0.3930000000000001
J090347.54+011445.2,135.94808333333333,1.245888888888889,-0.31999999999999973
J090546.55+562312.9,136.44395833333334,56.386916666666664,-0.2880000000000015
J090837.56+503203.6,137.15649999999997,50.53433333333333,-0.17500000000000016
J090957.35-065818.4,137.48895833333333,-6.971777777777778,-0.3869999999999999
J091112.50+740106.6,137.80208333333331,74.0185,-0.3150000000000007
J091303.23+184147.9,138.26345833333332,18.696638888888888,-0.3009999999999996
J091534.08+042205.1,138.89199999999997,4.368083333333333,-0.2670000000000007
J091714.75+314824.1,139.31145833333332,31.806694444444446,-0.374
J091838.44+213404.1,139.66016666666667,21.567805555555555,-0.3299999999999995
J092757.41+602746.0,141.9892083333333,60.46277777777778,-0.33599999999999974
J092933.44+342951.8,142.3893333333333,34.49772222222222,-0.0249999999999998
J094402.83+313132.1,146.01179166666662,31.525583333333334,-0.32900000000000007
J102214.76+411425.6,155.56149999999997,41.24044444444444,-0.34400000000000064
J102552.58+321231.5,156.4690833333333,32.20875,-0.2769999999999987
J102947.62+483411.8,157.44841666666662,48.569944444444445,-0.4630000000000004
J103322.01+400547.8,158.34170833333332,40.096611111111116,-0.36199999999999954
J103602.46+372447.4,159.01024999999996,37.41316666666666,-0.346999999999999
J105118.71+561305.5,162.8279583333333,56.21819444444445,-0.3800000000000002
J110009.49+495745.4,165.03954166666662,49.962611111111116,-0.2899999999999986
J110830.33+683014.8,167.126375,68.50411111111111,-0.276000000000001
J113833.15+674038.8,174.63812499999997,67.67744444444445,-0.34599999999999953
J115442.09-340038.8,178.675375,-34.010777777777776,-0.3280000000000006
J120703.54-315130.5,181.76475,-31.858472222222225,-0.2930000000000005
J120737.92-390904.6,181.908,-39.15127777777778,-0.29399999999999993
J122815.35-154736.4,187.06395833333332,-15.793444444444445,-0.3009999999999996
J125656.74+014615.9,194.23641666666666,1.7710833333333333,-0.35099999999999854
J125737.34-011336.5,194.40558333333328,-1.2268055555555557,-0.3350000000000003
J130154.60-151023.0,195.4775,-15.173055555555555,-0.3659999999999991
J130539.94-254106.1,196.41641666666663,-25.68502777777778,-0.3010000000000014
J131530.35-264954.6,198.87645833333332,-26.831833333333332,-0.18699999999999883
J132619.81-272937.2,201.58254166666666,-27.493666666666666,-0.1060000000000011
J132629.66-003832.6,201.6235833333333,-0.6423888888888889,-0.09100000000000052
J133406.18+194036.4,203.52575,19.67677777777778,-0.3499999999999991
J134111.63-305252.1,205.29845833333331,-30.881138888888888,-0.2899999999999986
J134203.12+134022.4,205.51299999999998,13.672888888888888,0.00899999999999912
J135955.14-403503.3,209.97974999999997,-40.584250000000004,-0.34599999999999953
J140231.60+014830.1,210.63166666666666,1.808361111111111,-0.26900000000000135
J140441.70+023547.5,211.17374999999998,2.5965277777777778,-0.34099999999999875
J140753.39+124111.0,211.97245833333332,12.686388888888889,-0.32599999999999996
J140903.19-335755.8,212.26329166666665,-33.965500000000006,-0.34899999999999964
J141011.08+132900.8,212.54616666666664,13.483555555555554,-0.49299999999999977
J141224.51+163310.5,213.10212499999997,16.55291666666667,-0.362999999999999
J142227.23+221558.3,215.6134583333333,22.266194444444444,-0.35899999999999943
J142438.96+091709.8,216.16233333333332,9.286055555555555,-0.4359999999999994
J143043.42+291542.1,217.68091666666663,29.261694444444444,-0.3140000000000013
J143055.92+001351.8,217.73299999999998,0.23105555555555557,-0.29700000000000004
J143130.64+143653.0,217.87766666666667,14.614722222222222,-0.2849999999999996
J143517.22-004612.6,218.82174999999998,-0.7701666666666666,-0.31300000000000006
J143535.75-004347.4,218.89895833333333,-0.7298333333333333,-0.43800000000000006
J143855.11-130910.8,219.72962499999997,-13.153,-0.2819999999999995
J143940.90+182637.7,219.92041666666663,18.443805555555556,-0.27900000000000114
J144001.75+002146.7,220.00729166666665,0.3629722222222222,-0.3750000000000012
J144016.21+002639.5,220.06754166666664,0.44430555555555556,-0.3150000000000007
J144600.73+002451.2,221.50304166666666,0.41422222222222227,-0.28700000000000025
J144938.12+235536.3,222.4088333333333,23.926750000000002,-0.9270000000000008
J151136.27+353511.5,227.90112499999998,35.58652777777778,-0.25800000000000034
J151506.18+443648.1,228.77575,44.61336111111111,-0.12300000000000055
J152322.73+301454.3,230.8447083333333,30.248416666666667,-0.07900000000000007
J152613.85+204337.0,231.5577083333333,20.72694444444444,-0.28700000000000025
J154009.25+374227.7,235.03854166666665,37.70769444444445,-0.20899999999999908
J154508.84+355528.5,236.2868333333333,35.92458333333333,-0.16899999999999993
J161542.46+495321.3,243.92691666666664,49.88925,-0.01700000000000068
J163229.39+190439.9,248.1224583333333,19.077749999999998,-0.11699999999999855
J171714.33+652620.9,259.3097083333333,65.43913888888889,-0.3120000000000006
J172006.70+615536.5,260.0279166666666,61.92680555555555,-0.526000000000001
J180715.97+501530.2,271.81654166666664,50.25838888888889,-0.35699999999999876
J184108.66+311728.3,280.2860833333333,31.291194444444447,-0.26299999999999935
J190908.18-193749.6,287.28408333333323,-19.630444444444446,-0.3320000000000002
J200250.64-052153.6,300.711,-5.364888888888888,-0.17699999999999905
J202820.42+005226.6,307.0850833333333,0.8740555555555556,-0.35700000000000054
J203437.63+082656.0,308.65679166666666,8.44888888888889,-0.44799999999999984
J203603.08+105127.8,309.01283333333333,10.857722222222222,-0.3399999999999993
J204142.87-350645.8,310.42862499999995,-35.112722222222224,-0.32900000000000007
J204317.70-155104.0,310.82374999999996,-15.851111111111111,-0.0249999999999998
J205754.09-025230.9,314.475375,-2.87525,-0.34399999999999886
J210754.20-454406.2,316.9758333333333,-45.735055555555554,-0.32599999999999996
J220645.11-421723.1,331.6879583333333,-42.28975,-0.15600000000000003
J224316.94-593223.0,340.8205833333333,-59.53972222222222,-0.42200000000000004
J002127.85-635108.6,5.366041666666666,-63.85238888888889,-0.3859999999999987
J003519.14+280715.5,8.829749999999999,28.12097222222222,-0.47099999999999953
J004324.51+280543.7,10.852125,28.09547222222222,-0.41500000000000037
J004446.85+280741.8,11.195208333333332,28.12827777777778,-0.5089999999999998
J004605.87+280841.3,11.524458333333333,28.144805555555553,-0.3610000000000001
J010412.78+280634.3,16.05325,28.109527777777778,-0.44799999999999984
J011749.92+280245.3,19.457999999999995,28.045916666666667,-0.4549999999999995
J011908.43+280910.9,19.785124999999997,28.153027777777776,-0.3939999999999996
J012559.40+280640.4,21.4975,28.111222222222224,-0.6019999999999998
J012739.04+280552.3,21.912666666666663,28.09786111111111,-0.3640000000000002
J012821.03+021116.5,22.087625,2.1879166666666663,-0.3670000000000003
J013825.39+280943.7,24.605791666666665,28.162138888888887,-0.24999999999999944
